address,suburb,postcode,region,price_raw,property_type,bedrooms,bathrooms,car_spaces,land_size,distance_km_from_wilgena,school_zone,safety_rating,year_built,url
"15/501 Fullarton Road,Highgate SA 5063",Highgate,5063,City of Unley & Prestige South,"Best Offer - $990,000",House,3,2,2,N/A,0.84,Unley High School [Prestigious Zone],Grade A+ (Ultra-Prestige Corridor ~20-25/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=15%2F501+Fullarton+Road%2C+Highgate+SA+5063
"3/126 Cross Road,Highgate SA 5063",Highgate,5063,City of Unley & Prestige South,Offers Closing 09/09 USP,Townhouse,3,1,2,N/A,0.84,Unley High School [Prestigious Zone],Grade A+ (Ultra-Prestige Corridor ~20-25/1k),c.2005 - 2020 (Modern Executive),https://www.domain.com.au/sale/?terms=3%2F126+Cross+Road%2C+Highgate+SA+5063
"6/2 Cross Street,Fullarton SA 5063",Fullarton,5063,City of Unley & Prestige South,$850k - $920k,House,3,1,1,N/A,1.24,Glenunga Int. High / Unley High (Dual Zone),"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=6%2F2+Cross+Street%2C+Fullarton+SA+5063
"1,2,3,4,5/348 Fullarton Road,Fullarton SA 5063",Fullarton,5063,City of Unley & Prestige South,"$1,000,000 - $1,100,000",House,3,2,3,181.42 m²,1.24,Glenunga Int. High / Unley High (Dual Zone),"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=1%2C2%2C3%2C4%2C5%2F348+Fullarton+Road%2C+Fullarton+SA+5063
"3/40 Windsor Road,Glenunga SA 5064",Glenunga,5064,City of Burnside & Core East,"$1,050,000 - $1,100,000",Unit / Villa,3,2,1,1570.061376 m²,1.24,Glenunga International High School (GIHS) [Tier 1],Grade A+ (Ultra-Prestige Corridor ~20-25/1k),c.1975 - 1990 (Solid Brick Colonial),https://www.domain.com.au/sale/?terms=3%2F40+Windsor+Road%2C+Glenunga+SA+5064
"36 Fisher Street,Fullarton SA 5063",Fullarton,5063,City of Unley & Prestige South,$1.25m - $1.35m,House,3,2,2,474 m²,1.24,Glenunga Int. High / Unley High (Dual Zone),"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=36+Fisher+Street%2C+Fullarton+SA+5063
"3/44 Florence Street,Fullarton SA 5063",Fullarton,5063,City of Unley & Prestige South,Best Offer By Monday 28th September @ 5pm,Townhouse,3,2,2,199 m²,1.24,Glenunga Int. High / Unley High (Dual Zone),"Grade A (High Safety, Family Oriented ~30-36/1k)",c.2005 - 2020 (Modern Executive),https://www.domain.com.au/sale/?terms=3%2F44+Florence+Street%2C+Fullarton+SA+5063
"6/308 Fullarton Road,Fullarton SA 5063",Fullarton,5063,City of Unley & Prestige South,UNDER CONTRACT,Townhouse,3,2,2,107 m²,1.24,Glenunga Int. High / Unley High (Dual Zone),"Grade A (High Safety, Family Oriented ~30-36/1k)",c.2005 - 2020 (Modern Executive),https://www.domain.com.au/sale/?terms=6%2F308+Fullarton+Road%2C+Fullarton+SA+5063
"4 Elinor Terrace,Glen Osmond SA 5064",Glen Osmond,5064,City of Burnside & Core East,Under Contract,House,3,1,3,914 m²,1.36,Glenunga International High School (GIHS) [Tier 1],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=4+Elinor+Terrace%2C+Glen+Osmond+SA+5064
"16/5 Mount Barker Road,Urrbrae SA 5064",Urrbrae,5064,City of Mitcham & Foothills,EOI: ($1.1M-$1.2M) Closes Monday 20 Sept,House,3,2,2,1560.771072 m²,1.55,Unley High School [Prestigious Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=16%2F5+Mount+Barker+Road%2C+Urrbrae+SA+5064
"15 Main Avenue,Frewville SA 5063",Frewville,5063,City of Burnside & Core East,Auction On-Site Saturday 26th September 10:00AM,House,3,1,1,159 m²,1.7,Glenunga International High School (GIHS) [Tier 1],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=15+Main+Avenue%2C+Frewville+SA+5063
"13A Broughton Street,Glenside SA 5065",Glenside,5065,City of Burnside & Core East,Best Offers by 28/9 (USP),House,3,1,1,418 m²,2.06,Glenunga International High School (GIHS) [Tier 1],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=13A+Broughton+Street%2C+Glenside+SA+5065
"4/40 Cedar Crescent,Glenside SA 5065",Glenside,5065,City of Burnside & Core East,Best Offers By 15/9 (USP),House,3,1,2,N/A,2.06,Glenunga International High School (GIHS) [Tier 1],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=4%2F40+Cedar+Crescent%2C+Glenside+SA+5065
"34 Austral Avenue,Linden Park SA 5065",Linden Park,5065,City of Burnside & Core East,Best Offers By 21/9 (USP),House,3,2,2,836 m²,2.36,Glenunga International High School (GIHS) [Tier 1],Grade A- (Established Safe Residential Suburb ~40-46/1k),1957,https://www.domain.com.au/sale/?terms=34+Austral+Avenue%2C+Linden+Park+SA+5065
"3/20 Randolph Avenue,Parkside SA 5063",Parkside,5063,City of Unley & Prestige South,"$1,195,000-$1,295,000",House,3,2,2,N/A,2.43,Adelaide High & Adelaide Botanic High [Dual City Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=3%2F20+Randolph+Avenue%2C+Parkside+SA+5063
"301/293 Fullarton Road,Parkside SA 5063",Parkside,5063,City of Unley & Prestige South,"$1,200,000 - $1,250,000",Apartment,3,2,2,162 m²,2.43,Adelaide High & Adelaide Botanic High [Dual City Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=301%2F293+Fullarton+Road%2C+Parkside+SA+5063
"1 & 4/283 Fullarton Road,Parkside SA 5063",Parkside,5063,City of Unley & Prestige South,Contact Agent,Townhouse,3,2,2,N/A,2.43,Adelaide High & Adelaide Botanic High [Dual City Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.2005 - 2020 (Modern Executive),https://www.domain.com.au/sale/?terms=1+%26+4%2F283+Fullarton+Road%2C+Parkside+SA+5063
"29 Robsart Street,Parkside SA 5063",Parkside,5063,City of Unley & Prestige South,Best Offers,House,3,1,2,790 m²,2.43,Adelaide High & Adelaide Botanic High [Dual City Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=29+Robsart+Street%2C+Parkside+SA+5063
"7 Leicester Street,Parkside SA 5063",Parkside,5063,City of Unley & Prestige South,SOLD - Contact Agent,House,3,1,3,817 m²,2.43,Adelaide High & Adelaide Botanic High [Dual City Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",1900,https://www.domain.com.au/sale/?terms=7+Leicester+Street%2C+Parkside+SA+5063
"339B Fullarton Road,Parkside SA 5063",Parkside,5063,City of Unley & Prestige South,Contact Agent,Townhouse,3,2,2,N/A,2.43,Adelaide High & Adelaide Botanic High [Dual City Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.2005 - 2020 (Modern Executive),https://www.domain.com.au/sale/?terms=339B+Fullarton+Road%2C+Parkside+SA+5063
"28 Mount Osmond Road,Mount Osmond SA 5064",Mount Osmond,5064,City of Burnside & Core East,Contact Agent,House,3,1,4,150 m²,2.52,Glenunga International High School (GIHS) [Tier 1],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=28+Mount+Osmond+Road%2C+Mount+Osmond+SA+5064
"2 Pitfour Road,Lower Mitcham SA 5062",Lower Mitcham,5062,City of Mitcham & Foothills,$1M — $1.1M,House,3,1,2,492 m²,2.68,Unley High School [Prestigious Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",1969,https://www.domain.com.au/sale/?terms=2+Pitfour+Road%2C+Lower+Mitcham+SA+5062
"18 John Fisher Drive,Torrens Park SA 5062",Torrens Park,5062,City of Mitcham & Foothills,$1.2m - $1.28m,House,3,2,2,553 m²,2.77,Unley High School [Prestigious Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=18+John+Fisher+Drive%2C+Torrens+Park+SA+5062
"8 Pamela Road,Torrens Park SA 5062",Torrens Park,5062,City of Mitcham & Foothills,Auction (USP),House,3,1,2,774 m²,2.77,Unley High School [Prestigious Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=8+Pamela+Road%2C+Torrens+Park+SA+5062
"3/392-394 Unley Road,Unley Park SA 5061",Unley Park,5061,City of Unley & Prestige South,Best Buying Opportunity in Unley Park,Townhouse,3,2,2,N/A,2.78,Unley High School [Prestigious Zone],Grade A+ (Ultra-Prestige Corridor ~20-25/1k),c.1920 - 1935 (Character Heritage),https://www.domain.com.au/sale/?terms=3%2F392-394+Unley+Road%2C+Unley+Park+SA+5061
"8 & 11/392-394 Unley Road,Unley Park SA 5061",Unley Park,5061,City of Unley & Prestige South,Brand New Homes in Unley Park,Townhouse,3,2,2,N/A,2.78,Unley High School [Prestigious Zone],Grade A+ (Ultra-Prestige Corridor ~20-25/1k),c.1920 - 1935 (Character Heritage),https://www.domain.com.au/sale/?terms=8+%26+11%2F392-394+Unley+Road%2C+Unley+Park+SA+5061
"2. Miller Street,Unley SA 5061",Unley,5061,City of Unley & Prestige South,Contact Agent,House,3,1,1,94 m²,2.78,Unley High School [Prestigious Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1920 - 1935 (Character Heritage),https://www.domain.com.au/sale/?terms=2.+Miller+Street%2C+Unley+SA+5061
"8 Blackthorn Avenue,Hawthorndene SA 5051",Hawthorndene,5051,City of Mitcham & Foothills,$995K - $1.09M,House,3,2,2,"1,500 m²",2.99,Unley High School [Prestigious Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=8+Blackthorn+Avenue%2C+Hawthorndene+SA+5051
"44 Sturt Avenue,Hawthorndene SA 5051",Hawthorndene,5051,City of Mitcham & Foothills,Contracted by Dave & Sarah Smith,House,3,1,2,1580 m²,2.99,Unley High School [Prestigious Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),1915,https://www.domain.com.au/sale/?terms=44+Sturt+Avenue%2C+Hawthorndene+SA+5051
"32 Batley Avenue,Hawthorndene SA 5051",Hawthorndene,5051,City of Mitcham & Foothills,Under Contract,House,3,1,4,921 m²,2.99,Unley High School [Prestigious Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),1958,https://www.domain.com.au/sale/?terms=32+Batley+Avenue%2C+Hawthorndene+SA+5051
"23 Kauri Road,Hawthorndene SA 5051",Hawthorndene,5051,City of Mitcham & Foothills,Contact Agent,House,3,1,4,1262 m²,2.99,Unley High School [Prestigious Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=23+Kauri+Road%2C+Hawthorndene+SA+5051
"16 Pengana Drive,Hawthorndene SA 5051",Hawthorndene,5051,City of Mitcham & Foothills,Contact Agent,House,3,1,2,129 m²,2.99,Unley High School [Prestigious Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=16+Pengana+Drive%2C+Hawthorndene+SA+5051
"419 Greenhill Road,Tusmore SA 5065",Tusmore,5065,City of Burnside & Core East,Contact Agent,House,3,1,2,202 m²,3.05,Marryatville High School [Top Academic & Music],Grade A+ (Ultra-Prestige Corridor ~20-25/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=419+Greenhill+Road%2C+Tusmore+SA+5065
"2 The Common,Beaumont SA 5066",Beaumont,5066,City of Burnside & Core East,Best Offers By Monday 28th September 12PM (USP),House,3,2,2,537 m²,3.12,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),2009,https://www.domain.com.au/sale/?terms=2+The+Common%2C+Beaumont+SA+5066
"19 The Common,Beaumont SA 5066",Beaumont,5066,City of Burnside & Core East,EOI Closing Tuesday 5th July @ 12pm (USP),House,3,2,1,"1,022 m²",3.12,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),1963,https://www.domain.com.au/sale/?terms=19+The+Common%2C+Beaumont+SA+5066
"4/38 Kensington Road,Rose Park SA 5067",Rose Park,5067,City of Burnside & Core East,Contact Agent,Townhouse,3,1,2,N/A,3.37,Glenunga International High School (GIHS) [Tier 1],Grade A+ (Ultra-Prestige Corridor ~20-25/1k),c.1920 - 1935 (Character Heritage),https://www.domain.com.au/sale/?terms=4%2F38+Kensington+Road%2C+Rose+Park+SA+5067
"2/12 Hazelwood Avenue,Hazelwood Park SA 5066",Hazelwood Park,5066,City of Burnside & Core East,Contact Agent,House,3,2,2,526 m²,3.55,Marryatville High School [Top Academic & Music],Grade A+ (Ultra-Prestige Corridor ~20-25/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=2%2F12+Hazelwood+Avenue%2C+Hazelwood+Park+SA+5066
"609 Greenhill Road,Burnside SA 5066",Burnside,5066,City of Burnside & Core East,UNDER CONTRACT,House,3,1,2,490 m²,3.83,Marryatville High School [Top Academic & Music],Grade A+ (Ultra-Prestige Corridor ~20-25/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=609+Greenhill+Road%2C+Burnside+SA+5066
"11 Windarra Avenue,Burnside SA 5066",Burnside,5066,City of Burnside & Core East,AUCTION: Friday 18 September at 2:30pm,House,3,2,2,2675.607552 m²,3.83,Marryatville High School [Top Academic & Music],Grade A+ (Ultra-Prestige Corridor ~20-25/1k),1982,https://www.domain.com.au/sale/?terms=11+Windarra+Avenue%2C+Burnside+SA+5066
"2B Hill Street,Burnside SA 5066",Burnside,5066,City of Burnside & Core East,UNDER CONTRACT,House,3,2,1,374 m²,3.83,Marryatville High School [Top Academic & Music],Grade A+ (Ultra-Prestige Corridor ~20-25/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=2B+Hill+Street%2C+Burnside+SA+5066
"4/40 Chapel Street,Norwood SA 5067",Norwood,5067,"Norwood, Campbelltown & North-East Core","$1,200,000 - $1,320,000",Townhouse,3,2,2,117 m²,4.01,Norwood International High School [Top Tier 1 Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",2020,https://www.domain.com.au/sale/?terms=4%2F40+Chapel+Street%2C+Norwood+SA+5067
"111 Beulah Road,Norwood SA 5067",Norwood,5067,"Norwood, Campbelltown & North-East Core",Best Offer | Tue 06 Oct 12:00pm (USP),House,3,1,4,603 m²,4.01,Norwood International High School [Top Tier 1 Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=111+Beulah+Road%2C+Norwood+SA+5067
"305/3 Church Avenue,Norwood SA 5067",Norwood,5067,"Norwood, Campbelltown & North-East Core",Contact Agent,Apartment,3,3,2,N/A,4.01,Norwood International High School [Top Tier 1 Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=305%2F3+Church+Avenue%2C+Norwood+SA+5067
"5 Margaret Street,Norwood SA 5067",Norwood,5067,"Norwood, Campbelltown & North-East Core",Auction On-Site Saturday 19th September 10:15AM,House,3,1,0,245 m²,4.01,Norwood International High School [Top Tier 1 Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=5+Margaret+Street%2C+Norwood+SA+5067
"503/82 Osmond Terrace,Norwood SA 5067",Norwood,5067,"Norwood, Campbelltown & North-East Core",BEST OFFER BY WEDNESDAY 23RD SEPT AT 2PM (USP),House,3,2,2,201 m²,4.01,Norwood International High School [Top Tier 1 Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=503%2F82+Osmond+Terrace%2C+Norwood+SA+5067
"19 Gray Street,Norwood SA 5067",Norwood,5067,"Norwood, Campbelltown & North-East Core",Contact Agent,House,3,1,0,264 m²,4.01,Norwood International High School [Top Tier 1 Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=19+Gray+Street%2C+Norwood+SA+5067
"39 Essex Street South,Goodwood SA 5034",Goodwood,5034,City of Unley & Prestige South,CONTACT AGENTS,House,3,2,3,766 m²,4.14,Adelaide High & Adelaide Botanic High [Dual City Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=39+Essex+Street+South%2C+Goodwood+SA+5034
"9 Blackett Street,Goodwood SA 5034",Goodwood,5034,City of Unley & Prestige South,Under Contract,House,3,1,2,458 m²,4.14,Adelaide High & Adelaide Botanic High [Dual City Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=9+Blackett+Street%2C+Goodwood+SA+5034
"1/294 Magill Road,Beulah Park SA 5067",Beulah Park,5067,City of Burnside & Core East,$699 - 768K,Unit / Villa,3,1,1,129 m²,4.39,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),1964,https://www.domain.com.au/sale/?terms=1%2F294+Magill+Road%2C+Beulah+Park+SA+5067
"18 Salop Street,Beulah Park SA 5067",Beulah Park,5067,City of Burnside & Core East,Auction,House,3,1,1,811 m²,4.39,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),1915,https://www.domain.com.au/sale/?terms=18+Salop+Street%2C+Beulah+Park+SA+5067
"11 Penno Parade North,Belair SA 5052",Belair,5052,City of Mitcham & Foothills,"Price Guide | $1,080,000 - $1,100,000",House,3,1,3,244 m²,4.42,Blackwood High School [Honours Program],Grade A+ (Extremely Low Crime ~14-18/1k - Safest in SA),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=11+Penno+Parade+North%2C+Belair+SA+5052
"16 Hawker Avenue,Belair SA 5052",Belair,5052,City of Mitcham & Foothills,Contact Agent,House,3,1,2,988 m²,4.42,Blackwood High School [Honours Program],Grade A+ (Extremely Low Crime ~14-18/1k - Safest in SA),1970,https://www.domain.com.au/sale/?terms=16+Hawker+Avenue%2C+Belair+SA+5052
"10/27 Trevelyan Street,Wayville SA 5034",Wayville,5034,City of Unley & Prestige South,$699K - $759K,Unit / Villa,3,1,1,N/A,4.45,Adelaide High & Adelaide Botanic High [Dual City Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1975 - 1990 (Solid Brick Colonial),https://www.domain.com.au/sale/?terms=10%2F27+Trevelyan+Street%2C+Wayville+SA+5034
"105/56 Greenhill Road,Wayville SA 5034",Wayville,5034,City of Unley & Prestige South,"Best Offers - Price Guide $1,100,000 - $1,200,000",Apartment,3,2,2,123 m²,4.45,Adelaide High & Adelaide Botanic High [Dual City Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=105%2F56+Greenhill+Road%2C+Wayville+SA+5034
"7/258 Young Street,Wayville SA 5034",Wayville,5034,City of Unley & Prestige South,UNDER CONTRACT BY ROBBIE SMITH & ELLIE DRAPER,Townhouse,3,2,1,141 m²,4.45,Adelaide High & Adelaide Botanic High [Dual City Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.2005 - 2020 (Modern Executive),https://www.domain.com.au/sale/?terms=7%2F258+Young+Street%2C+Wayville+SA+5034
"4/116 Rose Terrace,Wayville SA 5034",Wayville,5034,City of Unley & Prestige South,Contact Agent,Townhouse,3,2,2,214 m²,4.45,Adelaide High & Adelaide Botanic High [Dual City Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.2005 - 2020 (Modern Executive),https://www.domain.com.au/sale/?terms=4%2F116+Rose+Terrace%2C+Wayville+SA+5034
"2/3 George Street,Clarence Park SA 5034",Clarence Park,5034,City of Unley & Prestige South,"$845,000 to $885,000",Townhouse,3,1,1,N/A,4.54,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),1990,https://www.domain.com.au/sale/?terms=2%2F3+George+Street%2C+Clarence+Park+SA+5034
"7 William Street,Clarence Park SA 5034",Clarence Park,5034,City of Unley & Prestige South,Auction On-Site Thursday 24th Sept 1:30PM $1.2M,House,3,1,1,474 m²,4.54,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=7+William+Street%2C+Clarence+Park+SA+5034
"9 Parker Terrace,Clarence Park SA 5034",Clarence Park,5034,City of Unley & Prestige South,Contact Agent,House,3,2,4,200 m²,4.54,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=9+Parker+Terrace%2C+Clarence+Park+SA+5034
"4/5 Avondale Street,Clarence Park SA 5034",Clarence Park,5034,City of Unley & Prestige South,Auction On-Site Wednesday 30th September 6:00PM,Townhouse,3,2,2,191 m²,4.54,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.2005 - 2020 (Modern Executive),https://www.domain.com.au/sale/?terms=4%2F5+Avondale+Street%2C+Clarence+Park+SA+5034
"110 Yarrabee Road,Greenhill SA 5140",Greenhill,5140,Adelaide Hills & North-East Enclaves,Best Offers By 21/9 (USP),House,3,2,2,"1,106 m²",4.66,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=110+Yarrabee+Road%2C+Greenhill+SA+5140
"8 Morcomb Street,Stepney SA 5069",Stepney,5069,"Norwood, Campbelltown & North-East Core",Under Contract,House,3,2,0,N/A,4.73,Norwood International High School [Top Tier 1 Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),1910,https://www.domain.com.au/sale/?terms=8+Morcomb+Street%2C+Stepney+SA+5069
"13 Fourth Avenue,St Morris SA 5068",St Morris,5068,"Norwood, Campbelltown & North-East Core","$1,250,000 - $1,300,000",House,3,1,2,580 m²,4.78,Norwood International High School [Top Tier 1 Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=13+Fourth+Avenue%2C+St+Morris+SA+5068
"30 Green Street,St Morris SA 5068",St Morris,5068,"Norwood, Campbelltown & North-East Core",Offers Closing 01/10 USP,House,3,1,2,600 m²,4.78,Norwood International High School [Top Tier 1 Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=30+Green+Street%2C+St+Morris+SA+5068
"147a ASHBROOK AVE,Trinity Gardens SA 5068",Trinity Gardens,5068,"Norwood, Campbelltown & North-East Core",Best offer by 8th April 12pm (USP),House,3,3,4,414 m²,4.82,Norwood International High School [Top Tier 1 Zone],"Grade A (High Safety, Family Oriented ~30-36/1k)",c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=147a+ASHBROOK+AVE%2C+Trinity+Gardens+SA+5068
"18/6 Third Avenue,Everard Park SA 5035",Everard Park,5035,City of Unley & Prestige South,"NEW PRICE | $950,000",Townhouse,3,2,2,224 m²,4.93,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.2005 - 2020 (Modern Executive),https://www.domain.com.au/sale/?terms=18%2F6+Third+Avenue%2C+Everard+Park+SA+5035
"24 Roslind Street,Kensington Gardens SA 5068",Kensington Gardens,5068,City of Burnside & Core East,Contact Agent,House,3,2,2,427 m²,4.96,Marryatville High School [Top Academic & Music],Grade A- (Established Safe Residential Suburb ~40-46/1k),2002,https://www.domain.com.au/sale/?terms=24+Roslind+Street%2C+Kensington+Gardens+SA+5068
"4 Bridge Street,Kensington SA 5068",Kensington,5068,"Norwood, Campbelltown & North-East Core",Contact Agent,House,3,1,0,961 m²,4.96,Norwood International High School [Top Tier 1 Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=4+Bridge+Street%2C+Kensington+SA+5068
"4/10 Oxford Street,Hackney SA 5069",Hackney,5069,"Norwood, Campbelltown & North-East Core","Guide: $1,050,000",Townhouse,3,1,2,142 m²,5.02,Adelaide High & Adelaide Botanic High [Dual City Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.2005 - 2020 (Modern Executive),https://www.domain.com.au/sale/?terms=4%2F10+Oxford+Street%2C+Hackney+SA+5069
"95 Hackney Road,Hackney SA 5069",Hackney,5069,"Norwood, Campbelltown & North-East Core",Contact Agent,Apartment,3,2,2,393 m²,5.02,Adelaide High & Adelaide Botanic High [Dual City Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=95+Hackney+Road%2C+Hackney+SA+5069
"29 Ontario Avenue,Panorama SA 5041",Panorama,5041,City of Mitcham & Foothills,Best Offers | $1M - $1.1M,House,3,1,3,217 m²,5.07,Local Zoned Secondary College,Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=29+Ontario+Avenue%2C+Panorama+SA+5041
"3/22 Cowper Road,Black Forest SA 5035",Black Forest,5035,City of Unley & Prestige South,Best Offer By 24th August 2026,House,3,2,3,269 m²,5.38,Adelaide High & Adelaide Botanic High [Dual City Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=3%2F22+Cowper+Road%2C+Black+Forest+SA+5035
"12 Shelley Street,Firle SA 5070",Firle,5070,"Norwood, Campbelltown & North-East Core",Best Offer by 5pm Tuesday 1st September 2026 (USP),House,3,1,4,95 m²,5.69,Norwood International High School [Top Tier 1 Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=12+Shelley+Street%2C+Firle+SA+5070
"3A Britton Avenue,Tranmere SA 5073",Tranmere,5073,"Norwood, Campbelltown & North-East Core","$810,000 - $830,000",Townhouse,3,2,1,N/A,5.78,Norwood International High School [Top Tier 1 Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.2005 - 2020 (Modern Executive),https://www.domain.com.au/sale/?terms=3A+Britton+Avenue%2C+Tranmere+SA+5073
"110a Glynburn Road,Tranmere SA 5073",Tranmere,5073,"Norwood, Campbelltown & North-East Core","$845,000 - $890,000",House,3,2,1,332 m²,5.78,Norwood International High School [Top Tier 1 Zone],Grade A- (Established Safe Residential Suburb ~40-46/1k),c.1965 - 1985 (Solid Brick Family),https://www.domain.com.au/sale/?terms=110a+Glynburn+Road%2C+Tranmere+SA+5073
